School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Chollas/Mead Elementary	San Diego Unified	San Diego	92102	www.chollasmead.sandiegounified.org/	32.710528	-117.097840	Active	N
Christa McAuliffe Elementary	Oceanside Unified	Oceanside	92056	https://mcauliffe.oside.us	33.200502	-117.306260	Active	N
Chula Vista Adult	Sweetwater Union High	Chula Vista	91911	No Data	32.614769	-117.075000	Active	N
Chula Vista Hills Elementary	Chula Vista Elementary	Chula Vista	91910	https://chulavistahills.cvesd.org/	32.636251	-117.002460	Active	N
Chula Vista Learning Community Charter	Chula Vista Elementary	Chula Vista	91911	https://www.cvlcc.org/	32.620687	-117.084950	Active	N
Chula Vista Middle	Sweetwater Union High	Chula Vista	91910	No Data	32.635067	-117.086450	Active	N
Chula Vista Senior High	Sweetwater Union High	Chula Vista	91911	No Data	32.622027	-117.076970	Active	N
City Heights Preparatory Charter	San Diego Unified	San Diego	92115	www.cityheightsprep.org/	32.753973	-117.079820	Active	N
Clairemont Canyons Academy	San Diego Unified	San Diego	92111	https://clairemontcanyonsacademy.sandiegounified.org/	32.819448	-117.171520	Active	N
Clairemont High	San Diego Unified	San Diego	92117	https://clairemont.sandiegounified.org/	32.807111	-117.203320	Active	C
Clark Middle	San Diego Unified	San Diego	92105	www.clark.sandiegounified.org/	32.740317	-117.100040	Active	N
Classical Academy	Escondido Union	Escondido	92025	www.classicalacademy.com	33.084400	-117.055500	Active	C
